Alpha (deg),Cl,Cd
0,-0.000483,0.00894
1.85,0.201,0.00909
4.25,0.46,0.00984
6.05,0.65,0.0109
8.15,0.862,0.0128
10.15,1.05,0.0154
11.15,1.1358,0.0172
12.1,1.21,0.0192
13.08,1.28,0.0218
14.25,1.35,0.0258
15.25,1.39,0.0306
