	0.127669	0.127669	0.127669	0.127669	0.127669
	0.122872	0.122872	0.122872	0.122872	0.122872
	0.0751453	0.0751453	0.0751453	0.0751453	0.0751453
	0.0419703	0.0419703	0.0419703	0.0419703	0.0419703
	0.0231197	0.0231198	0.0231198	0.0231198	0.0231198
	0.012828	0.0128284	0.0128284	0.0128284	0.0128284
	0.00726504	0.00726567	0.00726567	0.00726565	0.00726566
	0.00422013	0.0042212	0.0042212	0.00422116	0.00422119
	0.00250326	0.00250482	0.00250481	0.00250478	0.00250481
	0.00150118	0.0015033	0.00150328	0.00150328	0.00150328
	0.000898971	0.000901667	0.000901662	0.000901686	0.000901661
	0.000530279	0.000533526	0.000533518	0.000533545	0.000533517
	0.000303059	0.000306763	0.000306761	0.000306776	0.000306759
	0.000163759	0.000167767	0.000167784	0.000167787	0.000167782
	7.97968e-05	8.39547e-05	8.39913e-05	8.39863e-05	8.39885e-05
	3.07194e-05	3.48765e-05	3.49264e-05	3.49161e-05	3.49221e-05
	3.44962e-06	7.46003e-06	7.51948e-06	7.50807e-06	7.51453e-06
	-1.04331e-05	-6.69392e-06	-6.6303e-06	-6.63509e-06	-6.63369e-06
	-1.63243e-05	-1.29553e-05	-1.28958e-05	-1.28885e-05	-1.28965e-05
	-1.76888e-05	-1.47111e-05	-1.46563e-05	-1.46386e-05	-1.46549e-05
	-1.66522e-05	-1.4114e-05	-1.4055e-05	-1.40392e-05	-1.40538e-05
	-1.45085e-05	-1.24183e-05	-1.23523e-05	-1.2349e-05	-1.23526e-05
	-1.20147e-05	-1.035e-05	-1.02788e-05	-1.02895e-05	-1.02805e-05
	-9.5885e-06	-8.30228e-06	-8.23053e-06	-8.24684e-06	-8.2331e-06
	-7.43293e-06	-6.46284e-06	-6.39971e-06	-6.41079e-06	-6.40281e-06
	-5.62057e-06	-4.90806e-06	-4.85918e-06	-4.85932e-06	-4.86235e-06
	-4.15391e-06	-3.65591e-06	-3.61604e-06	-3.60729e-06	-3.61835e-06
	-3.0034e-06	-2.68226e-06	-2.64407e-06	-2.63305e-06	-2.64453e-06
	-2.12679e-06	-1.93873e-06	-1.9026e-06	-1.89574e-06	-1.90116e-06
	-1.47694e-06	-1.37706e-06	-1.34769e-06	-1.34852e-06	-1.34573e-06
	-1.00705e-06	-9.59849e-07	-9.38869e-07	-9.47233e-07	-9.38444e-07
	-6.74632e-07	-6.58323e-07	-6.42375e-07	-6.54711e-07	-6.44734e-07
	-4.43538e-07	-4.45768e-07	-4.31494e-07	-4.42365e-07	-4.36101e-07
	-2.85069e-07	-2.97237e-07	-2.85165e-07	-2.90102e-07	-2.89985e-07
	-1.78196e-07	-1.94217e-07	-1.86221e-07	-1.84512e-07	-1.89105e-07
	-1.08205e-07	-1.239e-07	-1.20417e-07	-1.1566e-07	-1.20536e-07
	-6.41155e-08	-7.66251e-08	-7.65085e-08	-7.41455e-08	-7.47607e-08
	-3.72779e-08	-4.50398e-08	-4.66745e-08	-5.02301e-08	-4.48249e-08
	-2.15221e-08	-2.40221e-08	-2.63561e-08	-3.51917e-08	-2.56822e-08
	-1.32518e-08	-1.04464e-08	-1.3224e-08	-2.32654e-08	-1.37134e-08
